epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7572.15,1.76611,0.74982,0.96712,0.75325,0.54686,0.57227,0.33524,1.43679,1.3388,1.00978,0.000848969,0.000848969,0.000848969
43,7754.96,1.78443,0.75215,0.97907,0.71542,0.55626,0.62311,0.34979,1.53263,1.11156,1.07237,0.000834822,0.000834822,0.000834822
44,7935.73,1.78329,0.77659,0.97897,0.71903,0.58531,0.64878,0.3843,1.43369,1.13542,1.03917,0.000820675,0.000820675,0.000820675
45,8117.76,1.7553,0.76798,0.9747,0.58826,0.53979,0.51398,0.28257,1.49285,1.38223,1.07761,0.000806528,0.000806528,0.000806528
46,8298.52,1.77915,0.74208,0.98033,0.55781,0.65845,0.569,0.29935,1.54491,1.13025,1.093,0.00079238,0.00079238,0.00079238
47,8479.92,1.78166,0.75066,0.97771,0.70513,0.60816,0.62836,0.35527,1.4925,1.10679,1.07122,0.000778233,0.000778233,0.000778233
48,8662.41,1.74944,0.76637,0.96856,0.48812,0.71137,0.51474,0.25801,1.55975,1.3193,1.05429,0.000764086,0.000764086,0.000764086
49,8844.75,1.76377,0.75229,0.97662,0.79825,0.60671,0.639,0.3798,1.38441,1.12236,1.0002,0.000749939,0.000749939,0.000749939
50,9026.91,1.77715,0.75806,0.96484,0.72326,0.54825,0.62071,0.36596,1.40282,1.1277,1.03657,0.000735792,0.000735792,0.000735792
51,9207.69,1.77552,0.75735,0.9756,0.72735,0.56391,0.62669,0.37355,1.40082,1.21387,1.00904,0.000721645,0.000721645,0.000721645
52,9389.78,1.77755,0.74211,0.96654,0.70637,0.55462,0.63327,0.36115,1.49604,1.12545,1.02619,0.000707498,0.000707498,0.000707498
53,9570.69,1.75783,0.74521,0.96473,0.57392,0.68057,0.65417,0.38288,1.40702,1.07505,0.99902,0.000693351,0.000693351,0.000693351
54,9750.04,1.76968,0.73941,0.96903,0.60955,0.58373,0.61771,0.35431,1.44534,1.1907,1.0237,0.000679204,0.000679204,0.000679204
55,9928.54,1.76565,0.74023,0.96086,0.61755,0.56751,0.60941,0.37356,1.37651,1.22886,1.00332,0.000665057,0.000665057,0.000665057
